language_name	language_id	feature_alphanumid	value	source	comment	function	designer	rowno	draft of clarifying comments to outsiders (hedvig + dunn + harald + suzanne)	formal means	depends_on	feature_domain	feature_name	feature_possible_values	bibsources	contributor	fn	relevant unit(s)	
Raigarh	kru	0	2	-	-	-	-	-	-	-	-	-	apos	0==both||1==N-A||2==ND||3==A-N	-	shafqat	-	-	
Raigarh	kru	1	1	-	-	-	-	-	-	-	-	-	nlpos	0==BOTH||1==ND||2==N-#||3==#-N	-	shafqat	-	-	
Raigarh	kru	2	1	-	-	-	-	-	-	-	-	-	nomnum	0==THREE-WAY||1==ND||2==TWO-WAY	-	shafqat	-	-	
Raigarh	kru	3	2	-	-	-	-	-	-	-	-	-	worder	0==S-DO-IO-V||1==S-IO-DO-V||2==ND||3==S-O-V	-	shafqat	-	-	
Raigarh	kru	4	2	-	-	-	-	-	-	-	-	-	honorific	0==verb||1==other||2==ND||3==pronoun	-	shafqat	-	-	
Raigarh	kru	5	3	-	-	-	-	-	-	-	-	-	reflexive	0==1||1==3||2==2||3==ND	-	shafqat	-	-	
Raigarh	kru	6	1	-	-	-	-	-	-	-	-	-	defarticle	0==YES||1==ND||2==NO	-	shafqat	-	-	
Raigarh	kru	7	1	-	-	-	-	-	-	-	-	-	indefarticle	0==YES||1==ND	-	shafqat	-	-	
Raigarh	kru	8	2	-	-	-	-	-	-	-	-	-	numsystem	0==vigesimal||1==other||2==ND||3==decimal	-	shafqat	-	-	
