language_name	language_id	feature_alphanumid	value	source	comment	function	designer	rowno	draft of clarifying comments to outsiders (hedvig + dunn + harald + suzanne)	formal means	depends_on	feature_domain	feature_name	feature_possible_values	bibsources	contributor	fn	relevant unit(s)	
Rangkhol	hra	0	3	-	-	-	-	-	-	-	-	-	apos	0==both||1==N-A||2==ND||3==A-N	-	shafqat	-	-	
Rangkhol	hra	1	2	-	-	-	-	-	-	-	-	-	nlpos	0==BOTH||1==ND||2==N-#||3==#-N	-	shafqat	-	-	
Rangkhol	hra	2	0	-	-	-	-	-	-	-	-	-	nomnum	0==THREE-WAY||1==ND||2==TWO-WAY	-	shafqat	-	-	
Rangkhol	hra	3	3	-	-	-	-	-	-	-	-	-	worder	0==S-DO-IO-V||1==S-IO-DO-V||2==ND||3==S-O-V	-	shafqat	-	-	
Rangkhol	hra	4	2	-	-	-	-	-	-	-	-	-	honorific	0==verb||1==other||2==ND||3==pronoun	-	shafqat	-	-	
Rangkhol	hra	5	0	-	-	-	-	-	-	-	-	-	reflexive	0==1||1==3||2==2||3==ND	-	shafqat	-	-	
Rangkhol	hra	6	2	-	-	-	-	-	-	-	-	-	defarticle	0==YES||1==ND||2==NO	-	shafqat	-	-	
Rangkhol	hra	7	0	-	-	-	-	-	-	-	-	-	indefarticle	0==YES||1==ND	-	shafqat	-	-	
Rangkhol	hra	8	2	-	-	-	-	-	-	-	-	-	numsystem	0==vigesimal||1==other||2==ND||3==decimal	-	shafqat	-	-	
